"date","close","volume","open","high","low"
"16:00","113.49","8,083,748","114.06","115.26","111.93"
"2015/03/23","113.4900","8067559.0000","114.0400","115.2600","111.9300"
"2015/03/20","115.7500","5197417.0000","115.8100","117.1400","115.5500"
"2015/03/19","115.3800","3103043.0000","116.1700","116.7700","115.2000"
"2015/03/18","117.1600","3612444.0000","116.4400","117.8300","115.5100"
"2015/03/17","116.8400","2548077.0000","117.0600","117.5900","116.4800"
"2015/03/16","117.9100","2809581.0000","117.1700","118.1200","117.1400"
"2015/03/13","116.8700","2992369.0000","117.6500","117.8800","115.8200"
"2015/03/12","118.4400","2239754.0000","117.3900","118.8400","116.9800"
"2015/03/11","116.9100","2824920.0000","116.9300","117.8700","116.8700"
"2015/03/10","117.0400","2851056.0000","117.3300","117.5700","116.4175"
"2015/03/09","118.3800","2110556.0000","118.1400","119.2200","118.0000"
"2015/03/06","118.1700","3007705.0000","118.5000","119.2500","117.6900"
"2015/03/05","119.2700","2968773.0000","120.0000","120.0000","118.7500"
"2015/03/04","119.8600","2931459.0000","119.5900","120.0500","118.7828"
"2015/03/03","120.2000","2329305.0000","121.0900","121.6400","119.8100"
"2015/03/02","121.3000","1948660.0000","120.3100","121.3650","119.8300"
"2015/02/27","120.4300","5177834.0000","119.8900","121.2700","119.5700"
"2015/02/26","119.9700","5000813.0000","123.8200","124.1000","119.9000"
"2015/02/25","124.2300","1950561.0000","125.2500","126.0000","124.1600"
"2015/02/24","124.9400","1880615.0000","124.4500","125.3400","123.7900"
"2015/02/23","124.5600","1586970.0000","124.2600","124.8000","124.1800"
"2015/02/20","124.9100","2797062.0000","125.0300","125.1100","124.0000"
"2015/02/19","125.4600","3665085.0000","124.3400","125.7500","123.9400"
"2015/02/18","124.5600","2036720.0000","123.9500","124.8050","123.5500"
"2015/02/17","124.6600","1759884.0000","124.6300","125.3100","123.9100"
"2015/02/13","124.7700","2757222.0000","122.8100","125.1500","122.8100"
"2015/02/12","122.7700","2749833.0000","123.1300","123.2000","122.0000"
"2015/02/11","122.4800","2578197.0000","121.5700","123.0300","121.5700"
"2015/02/10","121.4700","1632244.0000","122.0800","122.1200","120.5800"
"2015/02/09","121.2500","2307326.0000","119.8800","121.5100","119.5000"
"2015/02/06","120.2200","1967865.0000","120.9300","120.9300","119.9600"
"2015/02/05","120.8600","2364050.0000","119.8900","121.4722","119.6900"
"2015/02/04","119.0600","2418961.0000","119.9100","120.1500","118.7400"
"2015/02/03","120.3500","2814089.0000","119.5700","120.6700","119.4000"
"2015/02/02","118.8800","2540803.0000","118.5500","119.1100","117.2600"
"2015/01/30","117.9800","3723735.0000","118.0000","119.2400","117.6150"
"2015/01/29","118.4900","2875915.0000","117.3500","118.9700","117.2600"
"2015/01/28","117.3500","2322095.0000","118.9700","119.0500","117.1200"
"2015/01/27","118.6200","2096527.0000","118.2700","119.4600","118.0600"
"2015/01/26","119.1100","1799336.0000","118.0600","119.1500","118.0600"
"2015/01/23","118.4500","1753905.0000","119.5100","119.9750","118.3900"
"2015/01/22","120.0000","2712797.0000","118.6800","120.1800","118.3400"
"2015/01/21","118.2800","1906550.0000","117.6600","118.9800","117.1900"
"2015/01/20","117.5700","2321815.0000","118.7600","118.7600","116.7900"
"2015/01/16","117.5900","3245639.0000","117.3300","117.8300","116.3000"
"2015/01/15","117.3200","2548224.0000","118.2500","119.1600","117.2620"
"2015/01/14","117.5100","3288058.0000","116.5200","118.3300","116.3200"
"2015/01/13","117.8600","4127049.0000","120.0000","120.8500","117.3000"
"2015/01/12","119.5600","3742790.0000","119.0000","119.7700","117.9530"
"2015/01/09","119.0400","3734868.0000","119.5400","120.2200","118.9700"
"2015/01/08","119.1900","3837001.0000","119.0100","119.5900","118.1600"
"2015/01/07","117.2100","4915815.0000","116.2700","118.8800","115.1600"
"2015/01/06","116.2500","4651148.0000","117.5000","118.1000","115.9200"
"2015/01/05","117.3100","3178485.0000","118.8400","119.3200","116.7000"
"2015/01/02","119.7400","2787711.0000","119.5300","120.3700","118.6500"
"2014/12/31","119.4700","2211115.0000","121.2000","121.4200","119.4000"
"2014/12/30","121.1100","2166480.0000","121.1700","121.6300","120.4600"
"2014/12/29","121.4500","2435481.0000","121.0700","121.8500","120.9700"
"2014/12/26","121.4400","1783700.0000","121.0800","121.7700","120.5700"
"2014/12/24","120.9700","1420277.0000","122.0000","122.0700","120.9700"
"2014/12/23","122.6700","2775116.0000","121.6300","122.9500","121.5500"
"2014/12/22","122.0400","3283300.0000","121.5500","122.3200","121.4760"
"2014/12/19","121.1200","7929393.0000","119.8900","122.2900","119.8900"
"2014/12/18","119.5900","3633533.0000","120.0000","120.1100","118.2100"
"2014/12/17","118.4000","2697800.0000","116.8400","119.0000","116.8400"
"2014/12/16","116.6000","3659579.0000","116.7600","118.4500","116.2000"
"2014/12/15","117.7900","3024012.0000","118.8300","119.2300","117.0400"
"2014/12/12","117.9400","3523504.0000","119.1700","119.4700","117.9300"
"2014/12/11","120.0700","2803489.0000","119.4500","121.2100","119.4100"
"2014/12/10","119.3500","2388946.0000","120.6100","120.8300","118.9800"
"2014/12/09","120.3000","1723833.0000","119.4200","120.6902","119.2400"
"2014/12/08","120.0200","2571937.0000","120.7500","120.7500","119.6100"
"2014/12/05","120.8600","1681063.0000","121.3000","121.5600","120.7200"
"2014/12/04","121.0900","2036342.0000","120.4800","121.2850","120.0400"
"2014/12/03","120.8600","2737051.0000","118.7400","120.9100","118.5400"
"2014/12/02","118.8200","2936872.0000","116.8800","119.3100","116.8800"
"2014/12/01","118.8500","3251409.0000","119.6000","120.1400","118.3400"
"2014/11/28","119.9100","1401617.0000","120.5500","120.9900","119.6400"
